,area,year,month,month_num,unemployment_rate,area_name
0,04013,2024,sep,9,3.363547394910989,"Maricopa County, AZ"
1,04013,2024,aug,8,3.4121079855794156,"Maricopa County, AZ"
2,04013,2024,jul,7,3.8168911959070897,"Maricopa County, AZ"
3,04013,2024,jun,6,3.4127591520712612,"Maricopa County, AZ"
4,04013,2024,may,5,2.80036220908926,"Maricopa County, AZ"
5,04013,2024,apr,4,2.2511510377469475,"Maricopa County, AZ"
6,04013,2024,mar,3,2.5296027186769794,"Maricopa County, AZ"
7,04013,2024,feb,2,3.2186125031784196,"Maricopa County, AZ"
8,04013,2024,jan,1,3.3361686308341634,"Maricopa County, AZ"
9,04013,2023,dec,12,3.3218450133511075,"Maricopa County, AZ"
10,04013,2023,nov,11,3.477099052041014,"Maricopa County, AZ"
11,04013,2023,oct,10,3.8383403964401133,"Maricopa County, AZ"
12,06073,2024,sep,9,4.554105696245299,"San Diego County, CA"
13,06073,2024,aug,8,5.050989186463119,"San Diego County, CA"
14,06073,2024,jul,7,4.913663374037977,"San Diego County, CA"
15,06073,2024,jun,6,4.475814024369037,"San Diego County, CA"
16,06073,2024,may,5,3.6511316641300597,"San Diego County, CA"
17,06073,2024,apr,4,4.125603208047305,"San Diego County, CA"
18,06073,2024,mar,3,4.425977154678203,"San Diego County, CA"
19,06073,2024,feb,2,4.773122472451121,"San Diego County, CA"
20,06073,2024,jan,1,4.747701856666963,"San Diego County, CA"
21,06073,2023,dec,12,4.280912734154095,"San Diego County, CA"
22,06073,2023,nov,11,4.233534541662955,"San Diego County, CA"
23,06073,2023,oct,10,4.169599499241568,"San Diego County, CA"
24,42101,2024,sep,9,4.18645596140519,"Philadelphia County, PA"
25,42101,2024,aug,8,5.436007548528637,"Philadelphia County, PA"
26,42101,2024,jul,7,5.136733816863816,"Philadelphia County, PA"
27,42101,2024,jun,6,4.726838399049781,"Philadelphia County, PA"
28,42101,2024,may,5,4.256427914610223,"Philadelphia County, PA"
29,42101,2024,apr,4,3.7804617442440263,"Philadelphia County, PA"
30,42101,2024,mar,3,4.209955082479552,"Philadelphia County, PA"
31,42101,2024,feb,2,4.502487235690192,"Philadelphia County, PA"
32,42101,2024,jan,1,4.298478983298614,"Philadelphia County, PA"
33,42101,2023,dec,12,3.7304892071396125,"Philadelphia County, PA"
34,42101,2023,nov,11,3.941071033827027,"Philadelphia County, PA"
35,42101,2023,oct,10,4.308166937124556,"Philadelphia County, PA"
36,48201,2024,sep,9,4.4868299731370564,"Harris County, TX"
37,48201,2024,aug,8,4.796313502784849,"Harris County, TX"
38,48201,2024,jul,7,4.947031652522501,"Harris County, TX"
39,48201,2024,jun,6,4.848838919287272,"Harris County, TX"
40,48201,2024,may,5,4.030436454168533,"Harris County, TX"
41,48201,2024,apr,4,3.8122403791049737,"Harris County, TX"
42,48201,2024,mar,3,4.333301700321883,"Harris County, TX"
43,48201,2024,feb,2,4.6027253852224845,"Harris County, TX"
44,48201,2024,jan,1,4.387086282676159,"Harris County, TX"
45,48201,2023,dec,12,3.8433159344822707,"Harris County, TX"
46,48201,2023,nov,11,3.829078915484457,"Harris County, TX"
47,48201,2023,oct,10,4.122606651129904,"Harris County, TX"
