,area,year,month,month_num,unemployment_rate,area_name
0,04013,2024,sep,9,3.363547394910989,"Maricopa County, AZ"
1,04013,2024,aug,8,3.4121079855794156,"Maricopa County, AZ"
2,04013,2024,jul,7,3.8168911959070897,"Maricopa County, AZ"
3,04013,2024,jun,6,3.4127591520712612,"Maricopa County, AZ"
4,04013,2024,may,5,2.80036220908926,"Maricopa County, AZ"
5,04013,2024,apr,4,2.2511510377469475,"Maricopa County, AZ"
6,04013,2024,mar,3,2.5296027186769794,"Maricopa County, AZ"
7,04013,2024,feb,2,3.2186125031784196,"Maricopa County, AZ"
8,04013,2024,jan,1,3.3361686308341634,"Maricopa County, AZ"
9,04013,2023,dec,12,3.3218450133511075,"Maricopa County, AZ"
10,04013,2023,nov,11,3.477099052041014,"Maricopa County, AZ"
11,04013,2023,oct,10,3.8383403964401133,"Maricopa County, AZ"
12,06073,2024,sep,9,4.554105696245299,"San Diego County, CA"
13,06073,2024,aug,8,5.050989186463119,"San Diego County, CA"
14,06073,2024,jul,7,4.913663374037977,"San Diego County, CA"
15,06073,2024,jun,6,4.475814024369037,"San Diego County, CA"
16,06073,2024,may,5,3.6511316641300597,"San Diego County, CA"
17,06073,2024,apr,4,4.125603208047305,"San Diego County, CA"
18,06073,2024,mar,3,4.425977154678203,"San Diego County, CA"
19,06073,2024,feb,2,4.773122472451121,"San Diego County, CA"
20,06073,2024,jan,1,4.747701856666963,"San Diego County, CA"
21,06073,2023,dec,12,4.280912734154095,"San Diego County, CA"
22,06073,2023,nov,11,4.233534541662955,"San Diego County, CA"
23,06073,2023,oct,10,4.169599499241568,"San Diego County, CA"
24,12086,2024,sep,9,2.0523795736208004,"Miami-Dade County, FL"
25,12086,2024,aug,8,3.1317369070006422,"Miami-Dade County, FL"
26,12086,2024,jul,7,3.0631192991548684,"Miami-Dade County, FL"
27,12086,2024,jun,6,2.64762731253205,"Miami-Dade County, FL"
28,12086,2024,may,5,2.2322629688627713,"Miami-Dade County, FL"
29,12086,2024,apr,4,2.1468018993440126,"Miami-Dade County, FL"
30,12086,2024,mar,3,2.0265359551214766,"Miami-Dade County, FL"
31,12086,2024,feb,2,1.6257368647705204,"Miami-Dade County, FL"
32,12086,2024,jan,1,1.3740792566165339,"Miami-Dade County, FL"
33,12086,2023,dec,12,1.631138207866707,"Miami-Dade County, FL"
34,12086,2023,nov,11,1.5183844338363288,"Miami-Dade County, FL"
35,12086,2023,oct,10,1.7475880495400566,"Miami-Dade County, FL"
36,26163,2024,sep,9,5.176857987287278,"Wayne County, MI"
37,26163,2024,aug,8,5.067627942274503,"Wayne County, MI"
38,26163,2024,jul,7,8.233895049415286,"Wayne County, MI"
39,26163,2024,jun,6,6.21752637734748,"Wayne County, MI"
40,26163,2024,may,5,5.18132681026255,"Wayne County, MI"
41,26163,2024,apr,4,4.283437652703668,"Wayne County, MI"
42,26163,2024,mar,3,4.332394578845027,"Wayne County, MI"
43,26163,2024,feb,2,4.78220465239774,"Wayne County, MI"
44,26163,2024,jan,1,4.705290237354479,"Wayne County, MI"
45,26163,2023,dec,12,4.011470706737281,"Wayne County, MI"
46,26163,2023,nov,11,4.724985495590539,"Wayne County, MI"
47,26163,2023,oct,10,5.461291289169747,"Wayne County, MI"
