,area,year,educationlevel,population,population_ratio,last_update,area_name
0,06073,2019,9th Grade to 12th Grade,139503,0.06109752444286388,2024-11-14,
1,06073,2019,Associate's Degree,184539,0.0808217462216702,2024-11-14,
2,06073,2019,Bachelor's Degree,536994,0.23518493538254548,2024-11-14,
3,06073,2019,Graduate Degree and Higher,340135,0.14896745214349158,2024-11-14,
4,06073,2019,High School Diploma,418977,0.1834975412607455,2024-11-14,
5,06073,2019,Less Than 9th Grade,154080,0.0674817499706563,2024-11-14,
6,06073,2019,Some College,509052,0.2229472987153591,2024-11-14,
7,06073,2020,9th Grade to 12th Grade,131598,0.05822861094776469,2024-11-14,
8,06073,2020,Associate's Degree,188279,0.08330844420609879,2024-11-14,
9,06073,2020,Bachelor's Degree,537560,0.23785598642137712,2024-11-14,
10,06073,2020,Graduate Degree and Higher,340571,0.150693599135938,2024-11-14,
11,06073,2020,High School Diploma,416048,0.1840901619142814,2024-11-14,
12,06073,2020,Less Than 9th Grade,148949,0.06590596644370433,2024-11-14,
13,06073,2020,Some College,497015,0.2199159035107165,2024-11-14,
14,06073,2021,9th Grade to 12th Grade,129102,0.057020350782350376,2024-11-14,
15,06073,2021,Associate's Degree,189317,0.08361544940482894,2024-11-14,
16,06073,2021,Bachelor's Degree,546374,0.2413164562776402,2024-11-14,
17,06073,2021,Graduate Degree and Higher,349986,0.15457796539876748,2024-11-14,
18,06073,2021,High School Diploma,417417,0.18436014749977805,2024-11-14,
19,06073,2021,Less Than 9th Grade,147175,0.06500263455556395,2024-11-14,
20,06073,2021,Some College,484765,0.21410567107408157,2024-11-14,
21,06073,2022,9th Grade to 12th Grade,125125,0.05517398601127247,2024-11-14,
22,06073,2022,Associate's Degree,188919,0.08330401009601265,2024-11-14,
23,06073,2022,Bachelor's Degree,556574,0.2454218268950087,2024-11-14,
24,06073,2022,Graduate Degree and Higher,357888,0.15781104899582243,2024-11-14,
25,06073,2022,High School Diploma,417823,0.1842394434140891,2024-11-14,
26,06073,2022,Less Than 9th Grade,143419,0.06324074245554995,2024-11-14,
27,06073,2022,Some College,478074,0.2108071783284961,2024-11-14,
28,06073,2023,9th Grade to 12th Grade,119211,0.05271783569030775,2024-11-14,
29,06073,2023,Associate's Degree,188322,0.08328030343567404,2024-11-14,
30,06073,2023,Bachelor's Degree,564521,0.24964412111070475,2024-11-14,
31,06073,2023,Graduate Degree and Higher,365203,0.16150113452288348,2024-11-14,
32,06073,2023,High School Diploma,414691,0.1833858620450245,2024-11-14,
33,06073,2023,Less Than 9th Grade,138901,0.061425204848708906,2024-11-14,
34,06073,2023,Some College,470451,0.20804421167795736,2024-11-14,
35,12086,2019,9th Grade to 12th Grade,171801,0.08862729601654092,2024-11-14,"Miami-Dade County, FL"
36,12086,2019,Associate's Degree,179063,0.0923735572354635,2024-11-14,"Miami-Dade County, FL"
37,12086,2019,Bachelor's Degree,363978,0.18776599641159555,2024-11-14,"Miami-Dade County, FL"
38,12086,2019,Graduate Degree and Higher,211147,0.10892478898262853,2024-11-14,"Miami-Dade County, FL"
39,12086,2019,High School Diploma,529496,0.27315206972936334,2024-11-14,"Miami-Dade County, FL"
40,12086,2019,Less Than 9th Grade,191379,0.09872703467587257,2024-11-14,"Miami-Dade County, FL"
41,12086,2019,Some College,291599,0.15042770933304994,2024-11-14,"Miami-Dade County, FL"
42,26163,2019,9th Grade to 12th Grade,110989,0.09339253829052839,2024-11-14,"Wayne County, MI"
43,26163,2019,Associate's Degree,99119,0.08340443650108464,2024-11-14,"Wayne County, MI"
44,26163,2019,Bachelor's Degree,170420,0.1434012053038756,2024-11-14,"Wayne County, MI"
45,26163,2019,Graduate Degree and Higher,113845,0.09579574121476186,2024-11-14,"Wayne County, MI"
46,26163,2019,High School Diploma,357113,0.30049545023872154,2024-11-14,"Wayne County, MI"
47,26163,2019,Less Than 9th Grade,50766,0.04271743685281392,2024-11-14,"Wayne County, MI"
48,26163,2019,Some College,286159,0.24079066722539452,2024-11-14,"Wayne County, MI"
49,04013,2019,9th Grade to 12th Grade,206547,0.0683460414807432,2024-11-14,"Maricopa County, AZ"
50,04013,2019,Associate's Degree,256818,0.08498062756177291,2024-11-14,"Maricopa County, AZ"
51,04013,2019,Bachelor's Degree,622421,0.20595802158581664,2024-11-14,"Maricopa County, AZ"
52,04013,2019,Graduate Degree and Higher,357553,0.11831366308667847,2024-11-14,"Maricopa County, AZ"
53,04013,2019,High School Diploma,678639,0.22456045957796575,2024-11-14,"Maricopa County, AZ"
54,04013,2019,Less Than 9th Grade,172923,0.05721991861888363,2024-11-14,"Maricopa County, AZ"
55,04013,2019,Some College,727173,0.24062027539338013,2024-11-14,"Maricopa County, AZ"
56,06073,2019,9th Grade to 12th Grade,139503,0.06109752444286388,2024-11-14,"San Diego County, CA"
57,06073,2019,Associate's Degree,184539,0.0808217462216702,2024-11-14,"San Diego County, CA"
58,06073,2019,Bachelor's Degree,536994,0.23518493538254548,2024-11-14,"San Diego County, CA"
59,06073,2019,Graduate Degree and Higher,340135,0.14896745214349158,2024-11-14,"San Diego County, CA"
60,06073,2019,High School Diploma,418977,0.1834975412607455,2024-11-14,"San Diego County, CA"
61,06073,2019,Less Than 9th Grade,154080,0.0674817499706563,2024-11-14,"San Diego County, CA"
62,06073,2019,Some College,509052,0.2229472987153591,2024-11-14,"San Diego County, CA"
63,12086,2020,9th Grade to 12th Grade,173295,0.09009531246506951,2024-11-14,"Miami-Dade County, FL"
64,12086,2020,Associate's Degree,182930,0.09510450681921097,2024-11-14,"Miami-Dade County, FL"
65,12086,2020,Bachelor's Degree,370111,0.19241908994350293,2024-11-14,"Miami-Dade County, FL"
66,12086,2020,Graduate Degree and Higher,217631,0.11314540492850655,2024-11-14,"Miami-Dade County, FL"
67,12086,2020,High School Diploma,515943,0.2682365088384856,2024-11-14,"Miami-Dade County, FL"
68,12086,2020,Less Than 9th Grade,179449,0.0932947501459607,2024-11-14,"Miami-Dade County, FL"
69,12086,2020,Some College,284102,0.14770338706801223,2024-11-14,"Miami-Dade County, FL"
70,26163,2020,9th Grade to 12th Grade,106445,0.08792384256391195,2024-11-14,"Wayne County, MI"
71,26163,2020,Associate's Degree,103797,0.08573658778342212,2024-11-14,"Wayne County, MI"
72,26163,2020,Bachelor's Degree,184921,0.15274521951018047,2024-11-14,"Wayne County, MI"
73,26163,2020,Graduate Degree and Higher,120115,0.09921529756742246,2024-11-14,"Wayne County, MI"
74,26163,2020,High School Diploma,354870,0.2931235286829389,2024-11-14,"Wayne County, MI"
75,26163,2020,Less Than 9th Grade,49437,0.040835088588774625,2024-11-14,"Wayne County, MI"
76,26163,2020,Some College,291060,0.2404163052905464,2024-11-14,"Wayne County, MI"
77,04013,2020,9th Grade to 12th Grade,197184,0.06586757338800919,2024-11-14,"Maricopa County, AZ"
78,04013,2020,Associate's Degree,259548,0.08669971669968664,2024-11-14,"Maricopa County, AZ"
79,04013,2020,Bachelor's Degree,621615,0.20764499975447975,2024-11-14,"Maricopa County, AZ"
80,04013,2020,Graduate Degree and Higher,365122,0.12196577881865005,2024-11-14,"Maricopa County, AZ"
81,04013,2020,High School Diploma,674682,0.22537156234059974,2024-11-14,"Maricopa County, AZ"
82,04013,2020,Less Than 9th Grade,163041,0.05446240583797066,2024-11-14,"Maricopa County, AZ"
83,04013,2020,Some College,712450,0.2379876291194374,2024-11-14,"Maricopa County, AZ"
84,06073,2020,9th Grade to 12th Grade,131598,0.05822861094776469,2024-11-14,"San Diego County, CA"
85,06073,2020,Associate's Degree,188279,0.08330844420609879,2024-11-14,"San Diego County, CA"
86,06073,2020,Bachelor's Degree,537560,0.23785598642137712,2024-11-14,"San Diego County, CA"
87,06073,2020,Graduate Degree and Higher,340571,0.150693599135938,2024-11-14,"San Diego County, CA"
88,06073,2020,High School Diploma,416048,0.1840901619142814,2024-11-14,"San Diego County, CA"
89,06073,2020,Less Than 9th Grade,148949,0.06590596644370433,2024-11-14,"San Diego County, CA"
90,06073,2020,Some College,497015,0.2199159035107165,2024-11-14,"San Diego County, CA"
91,12086,2021,9th Grade to 12th Grade,170723,0.08923911816239227,2024-11-14,"Miami-Dade County, FL"
92,12086,2021,Associate's Degree,184851,0.0966240063227355,2024-11-14,"Miami-Dade County, FL"
93,12086,2021,Bachelor's Degree,378590,0.19789388509515465,2024-11-14,"Miami-Dade County, FL"
94,12086,2021,Graduate Degree and Higher,227177,0.11874835345429607,2024-11-14,"Miami-Dade County, FL"
95,12086,2021,High School Diploma,506080,0.26453455550583976,2024-11-14,"Miami-Dade County, FL"
96,12086,2021,Less Than 9th Grade,167466,0.0875366421758239,2024-11-14,"Miami-Dade County, FL"
97,12086,2021,Some College,278206,0.1454218711449922,2024-11-14,"Miami-Dade County, FL"
98,26163,2021,9th Grade to 12th Grade,101444,0.0842784235305651,2024-11-14,"Wayne County, MI"
99,26163,2021,Associate's Degree,102861,0.0854556496468737,2024-11-14,"Wayne County, MI"
100,26163,2021,Bachelor's Degree,186801,0.1551919659509985,2024-11-14,"Wayne County, MI"
101,26163,2021,Graduate Degree and Higher,123584,0.10267206235559873,2024-11-14,"Wayne County, MI"
102,26163,2021,High School Diploma,357447,0.29696255723088505,2024-11-14,"Wayne County, MI"
103,26163,2021,Less Than 9th Grade,48626,0.04039788082683311,2024-11-14,"Wayne County, MI"
104,26163,2021,Some College,282911,0.23503896809526142,2024-11-14,"Wayne County, MI"
105,04013,2021,9th Grade to 12th Grade,193103,0.06333640225304844,2024-11-14,"Maricopa County, AZ"
106,04013,2021,Associate's Degree,270645,0.08876962340189587,2024-11-14,"Maricopa County, AZ"
107,04013,2021,Bachelor's Degree,648696,0.21276764626102918,2024-11-14,"Maricopa County, AZ"
108,04013,2021,Graduate Degree and Higher,385539,0.12645403327881,2024-11-14,"Maricopa County, AZ"
109,04013,2021,High School Diploma,676617,0.22192553447253996,2024-11-14,"Maricopa County, AZ"
110,04013,2021,Less Than 9th Grade,160363,0.052597916523853115,2024-11-14,"Maricopa County, AZ"
111,04013,2021,Some College,713880,0.23414753183744544,2024-11-14,"Maricopa County, AZ"
112,06073,2021,9th Grade to 12th Grade,129102,0.057020350782350376,2024-11-14,"San Diego County, CA"
113,06073,2021,Associate's Degree,189317,0.08361544940482894,2024-11-14,"San Diego County, CA"
114,06073,2021,Bachelor's Degree,546374,0.2413164562776402,2024-11-14,"San Diego County, CA"
115,06073,2021,Graduate Degree and Higher,349986,0.15457796539876748,2024-11-14,"San Diego County, CA"
116,06073,2021,High School Diploma,417417,0.18436014749977805,2024-11-14,"San Diego County, CA"
117,06073,2021,Less Than 9th Grade,147175,0.06500263455556395,2024-11-14,"San Diego County, CA"
118,06073,2021,Some College,484765,0.21410567107408157,2024-11-14,"San Diego County, CA"
119,12086,2022,9th Grade to 12th Grade,173133,0.09019650337664475,2024-11-14,"Miami-Dade County, FL"
120,12086,2022,Associate's Degree,183387,0.09553849447957785,2024-11-14,"Miami-Dade County, FL"
121,12086,2022,Bachelor's Degree,387301,0.20177086952965576,2024-11-14,"Miami-Dade County, FL"
122,12086,2022,Graduate Degree and Higher,235881,0.12288611306328857,2024-11-14,"Miami-Dade County, FL"
123,12086,2022,High School Diploma,508553,0.2649391068236721,2024-11-14,"Miami-Dade County, FL"
124,12086,2022,Less Than 9th Grade,162703,0.08476282215920843,2024-11-14,"Miami-Dade County, FL"
125,12086,2022,Some College,268548,0.1399045276682735,2024-11-14,"Miami-Dade County, FL"
126,26163,2022,9th Grade to 12th Grade,100099,0.0837842045526833,2024-11-14,"Wayne County, MI"
127,26163,2022,Associate's Degree,101226,0.08472751865702874,2024-11-14,"Wayne County, MI"
128,26163,2022,Bachelor's Degree,190500,0.15945105313026273,2024-11-14,"Wayne County, MI"
129,26163,2022,Graduate Degree and Higher,125867,0.10535236590208283,2024-11-14,"Wayne County, MI"
130,26163,2022,High School Diploma,354578,0.2967865381460488,2024-11-14,"Wayne County, MI"
131,26163,2022,Less Than 9th Grade,46964,0.03930949742367275,2024-11-14,"Wayne County, MI"
132,26163,2022,Some College,275487,0.2305863111480141,2024-11-14,"Wayne County, MI"
133,04013,2022,9th Grade to 12th Grade,192043,0.06202027802761545,2024-11-14,"Maricopa County, AZ"
134,04013,2022,Associate's Degree,277399,0.08958599430639232,2024-11-14,"Maricopa County, AZ"
135,04013,2022,Bachelor's Degree,668826,0.21599732597438037,2024-11-14,"Maricopa County, AZ"
136,04013,2022,Graduate Degree and Higher,398124,0.12857412751033037,2024-11-14,"Maricopa County, AZ"
137,04013,2022,High School Diploma,690506,0.22299888097840917,2024-11-14,"Maricopa County, AZ"
138,04013,2022,Less Than 9th Grade,159467,0.05149986032414487,2024-11-14,"Maricopa County, AZ"
139,04013,2022,Some College,710086,0.2293222410789112,2024-11-14,"Maricopa County, AZ"
140,06073,2022,9th Grade to 12th Grade,125125,0.05517398601127247,2024-11-14,"San Diego County, CA"
141,06073,2022,Associate's Degree,188919,0.08330401009601265,2024-11-14,"San Diego County, CA"
142,06073,2022,Bachelor's Degree,556574,0.2454218268950087,2024-11-14,"San Diego County, CA"
143,06073,2022,Graduate Degree and Higher,357888,0.15781104899582243,2024-11-14,"San Diego County, CA"
144,06073,2022,High School Diploma,417823,0.1842394434140891,2024-11-14,"San Diego County, CA"
145,06073,2022,Less Than 9th Grade,143419,0.06324074245554995,2024-11-14,"San Diego County, CA"
146,06073,2022,Some College,478074,0.2108071783284961,2024-11-14,"San Diego County, CA"
147,12086,2023,9th Grade to 12th Grade,171065,0.08936234677699506,2024-11-14,"Miami-Dade County, FL"
148,12086,2023,Associate's Degree,185798,0.0970586929323481,2024-11-14,"Miami-Dade County, FL"
149,12086,2023,Bachelor's Degree,396831,0.20729985347009458,2024-11-14,"Miami-Dade County, FL"
