,area,year,educationlevel,population,population_ratio,last_update,area_name
0,02411782,2019,Less Than 9th Grade,56366,0.05693828671982092,2024-11-14,
1,02411782,2019,9th Grade to 12th Grade,47552,0.04803479775220744,2024-11-14,
2,02411782,2019,High School Diploma,154539,0.15610804192943273,2024-11-14,
3,02411782,2019,Some College,192905,0.19486357378006341,2024-11-14,
4,02411782,2019,Associate's Degree,69625,0.0703319059870761,2024-11-14,
5,02411782,2019,Bachelor's Degree,277682,0.28050131875480455,2024-11-14,
6,02411782,2019,Graduate Degree and Higher,191280,0.19322207507659486,2024-11-14,
7,02411782,2021,Less Than 9th Grade,51159,0.05293316074881814,2024-11-14,
8,02411782,2021,9th Grade to 12th Grade,46387,0.047995670901609236,2024-11-14,
9,02411782,2021,High School Diploma,151767,0.15703018056189297,2024-11-14,
10,02411782,2021,Some College,173563,0.17958205162429136,2024-11-14,
11,02411782,2021,Associate's Degree,71846,0.07433757241462084,2024-11-14,
12,02411782,2021,Bachelor's Degree,275902,0.28547010138822926,2024-11-14,
13,02411782,2021,Graduate Degree and Higher,195859,0.20265126236053815,2024-11-14,
14,02411782,2022,Less Than 9th Grade,45723,0.047049513997649735,2024-11-14,
15,02411782,2022,9th Grade to 12th Grade,44105,0.04538457264104152,2024-11-14,
16,02411782,2022,High School Diploma,138243,0.14225370084152597,2024-11-14,
17,02411782,2022,Some College,174118,0.17916950502466542,2024-11-14,
18,02411782,2022,Associate's Degree,72440,0.0745416266209511,2024-11-14,
19,02411782,2022,Bachelor's Degree,286704,0.29502184592398073,2024-11-14,
20,02411782,2022,Graduate Degree and Higher,210473,0.21657923495018552,2024-11-14,
21,02411782,2023,Less Than 9th Grade,53390,0.05441512656944171,2024-11-14,
22,02411782,2023,9th Grade to 12th Grade,45886,0.046767044348481036,2024-11-14,
23,02411782,2023,High School Diploma,136725,0.13935021877143505,2024-11-14,
24,02411782,2023,Some College,168395,0.17162830565014303,2024-11-14,
25,02411782,2023,Associate's Degree,66252,0.06752408626107234,2024-11-14,
26,02411782,2023,Bachelor's Degree,291859,0.2974629036417061,2024-11-14,
27,02411782,2023,Graduate Degree and Higher,218654,0.2228523147577207,2024-11-14,
28,02411782,2020,9th Grade to 12th Grade,48627,0.04973509798306264,2024-11-14,
29,02411782,2020,Associate's Degree,69885,0.07147751912613018,2024-11-14,
30,02411782,2020,Bachelor's Degree,272219,0.2784222476782719,2024-11-14,
31,02411782,2020,Graduate Degree and Higher,194905,0.19934643865319315,2024-11-14,
32,02411782,2020,High School Diploma,143304,0.14656957002004664,2024-11-14,
33,02411782,2020,Less Than 9th Grade,55320,0.056580616127316616,2024-11-14,
34,02411782,2020,Some College,178741,0.18281409810579716,2024-11-14,
35,02411414,2019,Less Than 9th Grade,93476,0.08503708932915346,2024-11-14,"Phoenix, AZ"
36,02411414,2019,9th Grade to 12th Grade,102302,0.09306628773750543,2024-11-14,"Phoenix, AZ"
37,02411414,2019,High School Diploma,265129,0.24119344491365838,2024-11-14,"Phoenix, AZ"
38,02411414,2019,Some College,241858,0.2200233252489452,2024-11-14,"Phoenix, AZ"
39,02411414,2019,Associate's Degree,82574,0.07511930992196413,2024-11-14,"Phoenix, AZ"
40,02411414,2019,Bachelor's Degree,199100,0.1811254705532378,2024-11-14,"Phoenix, AZ"
41,02411414,2019,Graduate Degree and Higher,114799,0.10443507229553564,2024-11-14,"Phoenix, AZ"
42,02411414,2021,Less Than 9th Grade,86077,0.08081725162945201,2024-11-14,"Phoenix, AZ"
43,02411414,2021,9th Grade to 12th Grade,87421,0.08207912630201243,2024-11-14,"Phoenix, AZ"
44,02411414,2021,High School Diploma,235492,0.22110222499300522,2024-11-14,"Phoenix, AZ"
45,02411414,2021,Some College,223339,0.2096918359337591,2024-11-14,"Phoenix, AZ"
46,02411414,2021,Associate's Degree,83384,0.07828880781010289,2024-11-14,"Phoenix, AZ"
47,02411414,2021,Bachelor's Degree,215365,0.20220508843450552,2024-11-14,"Phoenix, AZ"
48,02411414,2021,Graduate Degree and Higher,134004,0.12581566489716284,2024-11-14,"Phoenix, AZ"
49,02411414,2022,Less Than 9th Grade,86896,0.07965292094014939,2024-11-14,"Phoenix, AZ"
50,02411414,2022,9th Grade to 12th Grade,87440,0.08015157667794448,2024-11-14,"Phoenix, AZ"
51,02411414,2022,High School Diploma,254053,0.2328768127831865,2024-11-14,"Phoenix, AZ"
52,02411414,2022,Some College,218943,0.2006933514707136,2024-11-14,"Phoenix, AZ"
53,02411414,2022,Associate's Degree,86915,0.07967033722510915,2024-11-14,"Phoenix, AZ"
54,02411414,2022,Bachelor's Degree,217603,0.1994650450577625,2024-11-14,"Phoenix, AZ"
55,02411414,2022,Graduate Degree and Higher,139083,0.1274899558451344,2024-11-14,"Phoenix, AZ"
56,02411414,2023,Less Than 9th Grade,79085,0.07196224859619701,2024-11-14,"Phoenix, AZ"
57,02411414,2023,9th Grade to 12th Grade,84808,0.07716980943220936,2024-11-14,"Phoenix, AZ"
58,02411414,2023,High School Diploma,258574,0.2352856605995201,2024-11-14,"Phoenix, AZ"
59,02411414,2023,Some College,223388,0.20326867028396356,2024-11-14,"Phoenix, AZ"
60,02411414,2023,Associate's Degree,85081,0.07741822182225502,2024-11-14,"Phoenix, AZ"
61,02411414,2023,Bachelor's Degree,223258,0.2031503786696561,2024-11-14,"Phoenix, AZ"
62,02411414,2023,Graduate Degree and Higher,144785,0.13174501059619884,2024-11-14,"Phoenix, AZ"
63,02411782,2019,Less Than 9th Grade,56366,0.05693828671982092,2024-11-14,"San Diego, CA"
64,02411782,2019,9th Grade to 12th Grade,47552,0.04803479775220744,2024-11-14,"San Diego, CA"
65,02411782,2019,High School Diploma,154539,0.15610804192943273,2024-11-14,"San Diego, CA"
66,02411782,2019,Some College,192905,0.19486357378006341,2024-11-14,"San Diego, CA"
67,02411782,2019,Associate's Degree,69625,0.0703319059870761,2024-11-14,"San Diego, CA"
68,02411782,2019,Bachelor's Degree,277682,0.28050131875480455,2024-11-14,"San Diego, CA"
69,02411782,2019,Graduate Degree and Higher,191280,0.19322207507659486,2024-11-14,"San Diego, CA"
70,02411782,2021,Less Than 9th Grade,51159,0.05293316074881814,2024-11-14,"San Diego, CA"
71,02411782,2021,9th Grade to 12th Grade,46387,0.047995670901609236,2024-11-14,"San Diego, CA"
72,02411782,2021,High School Diploma,151767,0.15703018056189297,2024-11-14,"San Diego, CA"
73,02411782,2021,Some College,173563,0.17958205162429136,2024-11-14,"San Diego, CA"
74,02411782,2021,Associate's Degree,71846,0.07433757241462084,2024-11-14,"San Diego, CA"
75,02411782,2021,Bachelor's Degree,275902,0.28547010138822926,2024-11-14,"San Diego, CA"
76,02411782,2021,Graduate Degree and Higher,195859,0.20265126236053815,2024-11-14,"San Diego, CA"
77,02411782,2022,Less Than 9th Grade,45723,0.047049513997649735,2024-11-14,"San Diego, CA"
