,date,description,rate
0,2024-10-01,30-Year Interest Rate,4.38
1,2024-09-01,30-Year Interest Rate,4.04
2,2024-08-01,30-Year Interest Rate,4.15
3,2024-07-01,30-Year Interest Rate,4.46
4,2024-06-01,30-Year Interest Rate,4.44
5,2024-05-01,30-Year Interest Rate,4.62
6,2024-04-01,30-Year Interest Rate,4.66
7,2024-03-01,30-Year Interest Rate,4.36
8,2024-02-01,30-Year Interest Rate,4.38
9,2024-01-01,30-Year Interest Rate,4.26
10,2023-12-01,30-Year Interest Rate,4.14
11,2023-11-01,30-Year Interest Rate,4.66
12,2024-10-01,10-Year Interest Rate,4.1
13,2024-09-01,10-Year Interest Rate,3.72
14,2024-08-01,10-Year Interest Rate,3.87
15,2024-07-01,10-Year Interest Rate,4.25
16,2024-06-01,10-Year Interest Rate,4.31
17,2024-05-01,10-Year Interest Rate,4.48
18,2024-04-01,10-Year Interest Rate,4.54
19,2024-03-01,10-Year Interest Rate,4.21
20,2024-02-01,10-Year Interest Rate,4.21
21,2024-01-01,10-Year Interest Rate,4.06
22,2023-12-01,10-Year Interest Rate,4.02
23,2023-11-01,10-Year Interest Rate,4.5
24,2024-10-01,1-Year Interest Rate,4.2
25,2024-09-01,1-Year Interest Rate,4.03
26,2024-08-01,1-Year Interest Rate,4.43
27,2024-07-01,1-Year Interest Rate,4.9
28,2024-06-01,1-Year Interest Rate,5.11
29,2024-05-01,1-Year Interest Rate,5.16
30,2024-04-01,1-Year Interest Rate,5.14
31,2024-03-01,1-Year Interest Rate,4.99
32,2024-02-01,1-Year Interest Rate,4.92
33,2024-01-01,1-Year Interest Rate,4.79
34,2023-12-01,1-Year Interest Rate,4.96
35,2023-11-01,1-Year Interest Rate,5.28
36,2024-09-01,Inflation Rate,2.65
37,2024-08-01,Inflation Rate,2.72
38,2024-07-01,Inflation Rate,2.79
39,2024-06-01,Inflation Rate,2.83
40,2024-05-01,Inflation Rate,2.86
41,2024-04-01,Inflation Rate,2.96
42,2024-03-01,Inflation Rate,3.08
43,2024-02-01,Inflation Rate,3.13
44,2024-01-01,Inflation Rate,3.26
45,2023-12-01,Inflation Rate,3.29
46,2023-11-01,Inflation Rate,3.47
