,area,year,total_units,total_multi_units,population,total_per_capita,multi_per_capita,area_name
0,04013,2019,30866,10926,4492261,0.006870927579675357,0.0024321828139549327,"Maricopa County, AZ"
1,04013,2020,39693,14175,4440231,0.008939399774471193,0.003192401476409673,"Maricopa County, AZ"
2,04013,2021,43403,16461,4494693,0.009656499342669232,0.00366231909498602,"Maricopa County, AZ"
3,04013,2022,40312,19904,4551523,0.008856815619738712,0.004373041726912069,"Maricopa County, AZ"
4,04013,2023,37076,19169,4570131,0.008112677732870239,0.004194409306866696,"Maricopa County, AZ"
5,06073,2019,7907,4950,3330458,0.0023741479400130553,0.0014862820669109174,"San Diego County, CA"
6,06073,2020,9285,6454,3296045,0.002817012510448128,0.0019581043341337875,"San Diego County, CA"
7,06073,2021,9700,6523,3274954,0.0029618736629583196,0.0019917837013893936,"San Diego County, CA"
8,06073,2022,9412,5925,3276208,0.002872833470890737,0.0018084932336408432,"San Diego County, CA"
9,06073,2023,10944,8065,3252468,0.0033648294156929446,0.002479655449338779,"San Diego County, CA"
10,42101,2019,4544,3690,1584439,0.0028678920425462893,0.002328900008141683,"Philadelphia County, PA"
11,42101,2020,3842,2995,1600600,0.0024003498687992,0.0018711733100087468,"Philadelphia County, PA"
12,42101,2021,19342,17733,1589479,0.012168767250149263,0.011156485867381702,"Philadelphia County, PA"
13,42101,2022,3223,2745,1567258,0.0020564578391049845,0.0017514665741058587,"Philadelphia County, PA"
14,42101,2023,3863,3458,1567754,0.002464034536030525,0.00220570319067915,"Philadelphia County, PA"
15,48201,2019,37823,19907,4709243,0.008031651796265344,0.004227218684616615,"Harris County, TX"
16,48201,2020,36543,15925,4734505,0.007718441526622107,0.00336360400928925,"Harris County, TX"
17,48201,2021,34649,13488,4735287,0.007317191122734483,0.002848401796976614,"Harris County, TX"
18,48201,2022,38996,20864,4780912,0.008156602756963525,0.0043640209232046106,"Harris County, TX"
19,48201,2023,34529,14682,4800944,0.007192127214981053,0.003058148564115724,"Harris County, TX"
