,area,year,total_households,med_income,last_update,area_name
0,01215531,2019,619505,72748,2024-11-15,"Philadelphia, PA"
1,01215531,2021,660921,77734,2024-11-15,"Philadelphia, PA"
2,01215531,2022,695320,82901,2024-11-15,"Philadelphia, PA"
3,01215531,2023,688112,86504,2024-11-15,"Philadelphia, PA"
4,02410796,2019,876504,85505,2024-11-15,"Houston, TX"
5,02410796,2021,924981,89003,2024-11-15,"Houston, TX"
6,02410796,2022,947632,95984,2024-11-15,"Houston, TX"
7,02410796,2023,942146,101552,2024-11-15,"Houston, TX"
8,02411414,2019,586878,84077,2024-11-15,"Phoenix, AZ"
9,02411414,2021,602039,93870,2024-11-15,"Phoenix, AZ"
10,02411414,2022,613918,103239,2024-11-15,"Phoenix, AZ"
11,02411414,2023,621234,109114,2024-11-15,"Phoenix, AZ"
12,02411782,2019,512530,114244,2024-11-15,"San Diego, CA"
13,02411782,2021,521000,124575,2024-11-15,"San Diego, CA"
14,02411782,2022,528530,133099,2024-11-15,"San Diego, CA"
15,02411782,2023,537532,142898,2024-11-15,"San Diego, CA"
16,01215531,2020,646372,75061,2024-11-15,"Philadelphia, PA"
17,02410796,2020,896342,89294,2024-11-15,"Houston, TX"
18,02411414,2020,592978,91305,2024-11-15,"Phoenix, AZ"
19,02411782,2020,519583,121390,2024-11-15,"San Diego, CA"
