,area,year,med_home_price,last_update,area_name
0,01215531,2019,183200,2024-11-15,"Philadelphia, PA"
1,01215531,2021,220700,2024-11-15,"Philadelphia, PA"
2,01215531,2022,237900,2024-11-15,"Philadelphia, PA"
3,01215531,2023,246600,2024-11-15,"Philadelphia, PA"
4,02410796,2019,195800,2024-11-15,"Houston, TX"
5,02410796,2021,236700,2024-11-15,"Houston, TX"
6,02410796,2022,267000,2024-11-15,"Houston, TX"
7,02410796,2023,282400,2024-11-15,"Houston, TX"
8,02411414,2019,266600,2024-11-15,"Phoenix, AZ"
9,02411414,2021,352600,2024-11-15,"Phoenix, AZ"
10,02411414,2022,429200,2024-11-15,"Phoenix, AZ"
11,02411414,2023,441300,2024-11-15,"Phoenix, AZ"
12,02411782,2019,658400,2024-11-15,"San Diego, CA"
13,02411782,2021,768800,2024-11-15,"San Diego, CA"
14,02411782,2022,905300,2024-11-15,"San Diego, CA"
15,02411782,2023,923900,2024-11-15,"San Diego, CA"
16,01215531,2020,203716,2024-11-15,"Philadelphia, PA"
17,02410796,2020,222433,2024-11-15,"Houston, TX"
18,02411414,2020,328300,2024-11-15,"Phoenix, AZ"
19,02411782,2020,751900,2024-11-15,"San Diego, CA"
