,area,year,total_households,med_income,last_update
0,02411782,2019,512530,114244,2024-11-15
1,02411782,2021,521000,124575,2024-11-15
2,02411782,2022,528530,133099,2024-11-15
3,02411782,2023,537532,142898,2024-11-15
4,02411782,2020,519583,121390,2024-11-15
5,06,2019,13157873,113563,2024-11-15
6,06,2021,13429063,120953,2024-11-15
7,06,2022,13550586,131504,2024-11-15
8,06,2023,13699816,134491,2024-11-15
9,06,2020,13319092,118276,2024-11-15
10,000,2019,122802852,92324,2024-11-15
11,000,2020,125522311,96231,2024-11-15
12,000,2021,127544730,97962,2024-11-15
13,000,2022,129870928,105555,2024-11-15
14,000,2023,131332360,109160,2024-11-15
