,area,year,med_home_price,last_update,area_name
0,04013,2019,293600,2024-11-15,"Maricopa County, AZ"
1,04013,2021,383500,2024-11-15,"Maricopa County, AZ"
2,04013,2022,466700,2024-11-15,"Maricopa County, AZ"
3,04013,2023,468700,2024-11-15,"Maricopa County, AZ"
4,06073,2019,619300,2024-11-15,"San Diego County, CA"
5,06073,2021,722200,2024-11-15,"San Diego County, CA"
6,06073,2022,846600,2024-11-15,"San Diego County, CA"
7,06073,2023,864900,2024-11-15,"San Diego County, CA"
8,12086,2019,330500,2024-11-15,"Miami-Dade County, FL"
9,12086,2021,374700,2024-11-15,"Miami-Dade County, FL"
10,12086,2022,453300,2024-11-15,"Miami-Dade County, FL"
11,12086,2023,488600,2024-11-15,"Miami-Dade County, FL"
12,26163,2019,134300,2024-11-15,"Wayne County, MI"
13,26163,2021,158700,2024-11-15,"Wayne County, MI"
14,26163,2022,173500,2024-11-15,"Wayne County, MI"
15,26163,2023,177300,2024-11-15,"Wayne County, MI"
16,04013,2020,357633,2024-11-15,"Maricopa County, AZ"
17,06073,2020,703833,2024-11-15,"San Diego County, CA"
18,12086,2020,375383,2024-11-15,"Miami-Dade County, FL"
19,26163,2020,146483,2024-11-15,"Wayne County, MI"
