,area,year,naics_id,industry,earnings_per_worker,growth,last_update,area_name
0,04013,2023,11 ,"Agriculture, Forestry, Fishing and Hunting",51936.29,104.64,2024-11-16,"Maricopa County, AZ"
1,04013,2023,21 ,"Mining, Quarrying, and Oil and Gas Extraction",93364.04,127.79,2024-11-16,"Maricopa County, AZ"
2,04013,2023,22 ,Utilities,176463.82,88.99,2024-11-16,"Maricopa County, AZ"
3,04013,2023,23 ,Construction,83564.59,102.55,2024-11-16,"Maricopa County, AZ"
4,04013,2023,31 ,Manufacturing,108633.77,85.82,2024-11-16,"Maricopa County, AZ"
5,04013,2023,42 ,Wholesale Trade,112899.42,95.58,2024-11-16,"Maricopa County, AZ"
6,04013,2023,44 ,Retail Trade,50222.67,74.71,2024-11-16,"Maricopa County, AZ"
7,04013,2023,48 ,Transportation and Warehousing,50288.75,16.2,2024-11-16,"Maricopa County, AZ"
8,04013,2023,51 ,Information,108646.02,122.43,2024-11-16,"Maricopa County, AZ"
9,04013,2023,52 ,Finance and Insurance,91747.4,69.78,2024-11-16,"Maricopa County, AZ"
10,04013,2023,53 ,Real Estate and Rental and Leasing,57384.59,67.19,2024-11-16,"Maricopa County, AZ"
11,04013,2023,54 ,"Professional, Scientific, and Technical Services",89469.44,75.74,2024-11-16,"Maricopa County, AZ"
12,04013,2023,55 ,Management of Companies and Enterprises,116264.49,57.13,2024-11-16,"Maricopa County, AZ"
13,04013,2023,56 ,Admin/Support/Waste Mgmt and Remediation Svcs,54425.91,103.81,2024-11-16,"Maricopa County, AZ"
14,04013,2023,61 ,Educational Services,51623.35,78.22,2024-11-16,"Maricopa County, AZ"
15,04013,2023,62 ,Health Care and Social Assistance,77311.09,83.16,2024-11-16,"Maricopa County, AZ"
16,04013,2023,71 ,"Arts, Entertainment, and Recreation",47169.65,50.25,2024-11-16,"Maricopa County, AZ"
17,04013,2023,72 ,Accommodation and Food Services,34466.32,103.63,2024-11-16,"Maricopa County, AZ"
18,04013,2023,81 ,Other Services (except Public Administration),42116.54,89.89,2024-11-16,"Maricopa County, AZ"
19,04013,2023,90 ,Government,89545.09,100.13,2024-11-16,"Maricopa County, AZ"
20,06073,2023,11 ,"Agriculture, Forestry, Fishing and Hunting",55654.06,128.32,2024-11-16,"San Diego County, CA"
21,06073,2023,21 ,"Mining, Quarrying, and Oil and Gas Extraction",90375.56,18.68,2024-11-16,"San Diego County, CA"
