,area,year,naics_id,industry,earnings_per_worker,growth,last_update,area_name
0,02410796,2023,52 ,Finance and Insurance,138841.03,75.98,2024-11-16,"Houston, TX"
1,02410796,2023,53 ,Real Estate and Rental and Leasing,59002.41,54.02,2024-11-16,"Houston, TX"
2,02410796,2023,11 ,"Agriculture, Forestry, Fishing and Hunting",44544.95,137.09,2024-11-16,"Houston, TX"
3,02410796,2023,21 ,"Mining, Quarrying, and Oil and Gas Extraction",182001.03,58.07,2024-11-16,"Houston, TX"
4,02410796,2023,22 ,Utilities,222881.89,44.53,2024-11-16,"Houston, TX"
5,02410796,2023,23 ,Construction,84546.77,82.18,2024-11-16,"Houston, TX"
6,02410796,2023,31 ,Manufacturing,116236.46,82.52,2024-11-16,"Houston, TX"
7,02410796,2023,42 ,Wholesale Trade,116539.34,90.42,2024-11-16,"Houston, TX"
8,02410796,2023,44 ,Retail Trade,45447.79,62.89,2024-11-16,"Houston, TX"
9,02410796,2023,48 ,Transportation and Warehousing,84357.26,19.16,2024-11-16,"Houston, TX"
10,02410796,2023,51 ,Information,94660.21,55.22,2024-11-16,"Houston, TX"
11,02410796,2023,54 ,"Professional, Scientific, and Technical Services",118520.91,62.72,2024-11-16,"Houston, TX"
12,02410796,2023,55 ,Management of Companies and Enterprises,184618.49,136.99,2024-11-16,"Houston, TX"
13,02410796,2023,56 ,Admin/Support/Waste Mgmt and Remediation Svcs,59869.46,92.53,2024-11-16,"Houston, TX"
14,02410796,2023,61 ,Educational Services,80204.16,95.68,2024-11-16,"Houston, TX"
15,02410796,2023,62 ,Health Care and Social Assistance,75715.62,71.48,2024-11-16,"Houston, TX"
16,02410796,2023,71 ,"Arts, Entertainment, and Recreation",45040.5,103.04,2024-11-16,"Houston, TX"
17,02410796,2023,72 ,Accommodation and Food Services,31318.7,76.43,2024-11-16,"Houston, TX"
18,02410796,2023,81 ,Other Services (except Public Administration),39089.2,92.19,2024-11-16,"Houston, TX"
19,02410796,2023,90 ,Government,92180.95,106.59,2024-11-16,"Houston, TX"
20,02411414,2023,11 ,"Agriculture, Forestry, Fishing and Hunting",46314.76,79.17,2024-11-16,"Phoenix, AZ"
21,02411414,2023,21 ,"Mining, Quarrying, and Oil and Gas Extraction",91542.13,136.49,2024-11-16,"Phoenix, AZ"
22,02411414,2023,22 ,Utilities,180868.67,92.82,2024-11-16,"Phoenix, AZ"
23,02411414,2023,23 ,Construction,82926.34,103.93,2024-11-16,"Phoenix, AZ"
24,02411414,2023,31 ,Manufacturing,102273.93,82.0,2024-11-16,"Phoenix, AZ"
25,02411414,2023,42 ,Wholesale Trade,109748.63,93.53,2024-11-16,"Phoenix, AZ"
26,02411414,2023,44 ,Retail Trade,48213.98,68.73,2024-11-16,"Phoenix, AZ"
27,02411414,2023,48 ,Transportation and Warehousing,51096.6,11.86,2024-11-16,"Phoenix, AZ"
28,02411414,2023,51 ,Information,108951.59,117.89,2024-11-16,"Phoenix, AZ"
29,02411414,2023,52 ,Finance and Insurance,91717.06,68.31,2024-11-16,"Phoenix, AZ"
30,02411414,2023,53 ,Real Estate and Rental and Leasing,58995.35,68.34,2024-11-16,"Phoenix, AZ"
31,02411414,2023,54 ,"Professional, Scientific, and Technical Services",90107.28,71.33,2024-11-16,"Phoenix, AZ"
32,02411414,2023,55 ,Management of Companies and Enterprises,130046.68,80.55,2024-11-16,"Phoenix, AZ"
33,02411414,2023,56 ,Admin/Support/Waste Mgmt and Remediation Svcs,55144.19,116.26,2024-11-16,"Phoenix, AZ"
34,02411414,2023,61 ,Educational Services,53954.75,74.7,2024-11-16,"Phoenix, AZ"
35,02411414,2023,62 ,Health Care and Social Assistance,78983.08,81.19,2024-11-16,"Phoenix, AZ"
36,02411414,2023,71 ,"Arts, Entertainment, and Recreation",40008.58,34.57,2024-11-16,"Phoenix, AZ"
37,02411414,2023,72 ,Accommodation and Food Services,34277.81,102.55,2024-11-16,"Phoenix, AZ"
38,02411414,2023,81 ,Other Services (except Public Administration),39516.64,101.59,2024-11-16,"Phoenix, AZ"
39,02411414,2023,90 ,Government,94131.91,102.19,2024-11-16,"Phoenix, AZ"
40,01215531,2023,11 ,"Agriculture, Forestry, Fishing and Hunting",35615.88,34.83,2024-11-16,"Philadelphia, PA"
41,01215531,2023,21 ,"Mining, Quarrying, and Oil and Gas Extraction",22620.69,-23.65,2024-11-16,"Philadelphia, PA"
42,01215531,2023,22 ,Utilities,196074.58,45.45,2024-11-16,"Philadelphia, PA"
43,01215531,2023,23 ,Construction,76938.44,48.19,2024-11-16,"Philadelphia, PA"
44,01215531,2023,31 ,Manufacturing,89384.7,75.23,2024-11-16,"Philadelphia, PA"
45,01215531,2023,42 ,Wholesale Trade,95628.69,87.02,2024-11-16,"Philadelphia, PA"
46,01215531,2023,44 ,Retail Trade,39921.46,53.87,2024-11-16,"Philadelphia, PA"
47,01215531,2023,48 ,Transportation and Warehousing,51957.43,26.33,2024-11-16,"Philadelphia, PA"
48,01215531,2023,51 ,Information,148385.02,116.64,2024-11-16,"Philadelphia, PA"
49,01215531,2023,52 ,Finance and Insurance,135757.16,71.37,2024-11-16,"Philadelphia, PA"
50,01215531,2023,53 ,Real Estate and Rental and Leasing,60543.49,50.57,2024-11-16,"Philadelphia, PA"
51,01215531,2023,54 ,"Professional, Scientific, and Technical Services",133918.16,76.78,2024-11-16,"Philadelphia, PA"
52,01215531,2023,55 ,Management of Companies and Enterprises,192551.72,130.52,2024-11-16,"Philadelphia, PA"
53,01215531,2023,56 ,Admin/Support/Waste Mgmt and Remediation Svcs,47520.9,29.29,2024-11-16,"Philadelphia, PA"
54,01215531,2023,61 ,Educational Services,84665.26,97.75,2024-11-16,"Philadelphia, PA"
55,01215531,2023,62 ,Health Care and Social Assistance,75470.72,81.91,2024-11-16,"Philadelphia, PA"
56,01215531,2023,71 ,"Arts, Entertainment, and Recreation",61962.37,62.99,2024-11-16,"Philadelphia, PA"
57,01215531,2023,72 ,Accommodation and Food Services,35794.18,69.1,2024-11-16,"Philadelphia, PA"
58,01215531,2023,81 ,Other Services (except Public Administration),42482.39,64.34,2024-11-16,"Philadelphia, PA"
59,01215531,2023,90 ,Government,114784.88,92.17,2024-11-16,"Philadelphia, PA"
60,02411782,2023,11 ,"Agriculture, Forestry, Fishing and Hunting",55681.41,127.39,2024-11-16,"San Diego, CA"
61,02411782,2023,21 ,"Mining, Quarrying, and Oil and Gas Extraction",97678.91,30.59,2024-11-16,"San Diego, CA"
62,02411782,2023,22 ,Utilities,211444.85,140.15,2024-11-16,"San Diego, CA"
63,02411782,2023,23 ,Construction,86272.34,89.74,2024-11-16,"San Diego, CA"
64,02411782,2023,31 ,Manufacturing,125586.41,117.45,2024-11-16,"San Diego, CA"
65,02411782,2023,42 ,Wholesale Trade,111652.69,87.43,2024-11-16,"San Diego, CA"
66,02411782,2023,44 ,Retail Trade,46468.53,59.0,2024-11-16,"San Diego, CA"
67,02411782,2023,48 ,Transportation and Warehousing,41784.52,22.06,2024-11-16,"San Diego, CA"
68,02411782,2023,51 ,Information,139498.45,76.34,2024-11-16,"San Diego, CA"
69,02411782,2023,52 ,Finance and Insurance,95402.23,51.08,2024-11-16,"San Diego, CA"
70,02411782,2023,53 ,Real Estate and Rental and Leasing,58196.11,62.87,2024-11-16,"San Diego, CA"
71,02411782,2023,54 ,"Professional, Scientific, and Technical Services",135544.26,117.19,2024-11-16,"San Diego, CA"
72,02411782,2023,55 ,Management of Companies and Enterprises,148422.67,101.97,2024-11-16,"San Diego, CA"
73,02411782,2023,56 ,Admin/Support/Waste Mgmt and Remediation Svcs,64546.28,134.85,2024-11-16,"San Diego, CA"
74,02411782,2023,61 ,Educational Services,55910.52,126.63,2024-11-16,"San Diego, CA"
75,02411782,2023,62 ,Health Care and Social Assistance,77547.3,82.47,2024-11-16,"San Diego, CA"
76,02411782,2023,71 ,"Arts, Entertainment, and Recreation",50505.99,103.15,2024-11-16,"San Diego, CA"
77,02411782,2023,72 ,Accommodation and Food Services,38447.4,101.79,2024-11-16,"San Diego, CA"
78,02411782,2023,81 ,Other Services (except Public Administration),35357.45,54.79,2024-11-16,"San Diego, CA"
79,02411782,2023,90 ,Government,106987.52,126.01,2024-11-16,"San Diego, CA"
